"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-AT5G45820",2978.94176999687,-2.49020498438302,0.0741951394006554,-33.5629126718916,5.83494984708928e-247,1.92211583605759e-244
"gene-AT5G26340",1901.43991308517,-3.14119946480848,0.0941644304586514,-33.3586626023062,5.45521438965902e-244,1.77171533255137e-241
"gene-AT2G30040",1576.93810470088,-3.28809715051064,0.0990290717334078,-33.2033522374358,9.63059871723396e-242,3.08433299750969e-239
"gene-AT5G24660",811.422558210308,5.12372439271889,0.154812076494381,33.096412817025,3.34686647978998e-240,1.05719718023941e-237
"gene-AT3G05800",861.450096917469,-3.98647489209549,0.120890634719662,-32.975878580999,1.80125353455496e-238,5.61285206125712e-236
"gene-AT1G19050",1818.58192531535,-3.44711732307592,0.105176714035566,-32.7745295589884,1.35829620489332e-235,4.17612695848469e-233
"gene-AT5G10695",928.602088617269,-4.39289869931044,0.135056062633532,-32.5264828075906,4.50375147800184e-232,1.36647375435848e-229
"gene-AT1G13260",5460.75105617116,-2.45778388246272,0.0758210305243695,-32.4155958507154,1.65493836846266e-230,4.95600309589358e-228
"gene-AT1G36370",13410.3810139747,1.97984379391718,0.0614178868520065,32.2356221517006,5.59520478809307e-228,1.65410034882869e-225
"gene-AT1G30360",26357.0904064192,-1.52133587687624,0.0472550620126597,-32.194135656169,2.13206845779093e-227,6.22321095800014e-225
"gene-AT1G15010",853.874827830891,-5.34148753821076,0.166837467146076,-32.0161150224966,6.50669353729823e-225,1.875473078457e-222
"gene-AT3G10300",1571.6082907954,-2.61354426186375,0.0821199938928413,-31.8259188532598,2.83566931397372e-222,8.07255539640989e-220
"gene-AT1G56300",883.03449826641,-6.12372223334833,0.194305337085921,-31.5159754497143,5.24830834483889e-218,1.47586270882488e-215
"gene-AT4G24570",1312.74481496839,-4.10481159315343,0.130268894220326,-31.5102973562582,6.27780350513535e-218,1.74409483162549e-215
"gene-AT5G10750",1992.67042317572,-2.44872105908289,0.0778608671298818,-31.4499587449766,4.20306973603373e-217,1.15379267908573e-214
